idCinema;nom;adresse;nbSalles;nbFauteuils
195;SALLE PIERRE ET JACQUES PREVERT ;RUE DE PARIS;1;300
196;CENTRE CULTUREL;96 AVENUE DES BRUZACQUES;1;346
197;CINEMA AGNES VARDA;37-39 GRANDE RUE;1;123
198;ESPACE;5 RUE DELAMBRE;3;492
199;PATHE;28 RUE D'ALSACE;8;1538
200;GAUMONT CARRE SENART;3 ALLEE DU PREAMBULE;16;3566
201;THEATRE DU GARDE CHASSE;2 AVENUE WALDECK ROUSSEAU;1;308
202;ATELIER BARBARA (EX-ANATOLE FRANCE);22-24 RUE ALSACE LORRAINE;1;165
203;CINE MUNICIPAL YVES MONTAND;36 RUE EUGENE MASSE;1;264
204;THEATRE CLAUDE DEBUSSY;116 AVENUE DU GENERAL DE GAULLE;1;406
205;L'ATALANTE;48 RUE DU PRIEURE;1;163
206;MARCEL PAGNOL  (EX CELTIC);17 RUE BERANGER;1;198
207;MEGA CGR;PLACE HENRI DUNANT;9;2081
208;LE CHAPLIN;PLACE MENDES FRANCE;1;300
209;ATMOSPHERE;PARC DES CELESTINS;1;231
210;FONTENELLE;10 RUE CARNOT;2;336
211;CINEMASSY;PLACE DE FRANCE;3;498
212;LES 2 SCENES;PLACE HENRI DUNANT;1;102
213;UGC MAJESTIC;11 PLACE HENRI IV;7;1129
214;VARIETES;20 BD CHAMBLAIN;3;566
215;ESPACE CULTUREL J J ROBERT;7 AVENUE DE VILLEROY;1;306
216;CINEMA CONFLUENCES MENNECY;ZAC MONTVRAIN II;3;324
217;LA LUCIOLE;1 ROUTE DE PONTOISE;1;228
218;CENTRE D ART ET DE CULTURE;15 BOULEVARD DES NATIONS-UNIES;1;458
219;ESPACE CULTUREL ROBERT-DOISNEAU;16 AV DE LATTRE DE TASSIGNY;1;268
220;CONCORDE;4 AV DES BOSQUETS;1;210
221;LA ROTONDE;PLACE DU 14 JUILLET;1;349
222;CINEMA  11X20 14;21 RUE DE LA CROIX-ROUGE;1;45
223;LE CYRANO;114 AVENUE DE LA REPUBLIQUE;1;329
224;JACQUES BREL;RUE DE LA MARE AUX CARATS;1;274
225;CENTRE PICASSO;RUE GUY DE MAUPASSANT;1;304
226;L'EDEN;5 RUE DE PONTOISE;2;222
227;MELIES;PLACE JEAN JAURES;6;1139
228;CINE MONTROUGE;88 RUE RACINE;1;162
229;FREDERIC DARD CLUB A;77 RUE PAUL DOUMER;2;360
230;LA BERGERIE;COUR EMILE ZOLA;1;132
231;LES LUMIERES;49 RUE MAURICE THOREZ;4;660
232;MELIES;9 RUE BEZOUT;3;641
